date,open,high,low,close,volume,quote_volume
2024-12-11,3630.25,3850.04,3567.0,3834.0,23438.70084201,89863979.02826634
2024-12-12,3834.0,3988.55,3802.28,3882.68,23810.36525335,92448028.96187696
2024-12-13,3882.69,3967.21,3855.0,3907.75,13770.34861,53811079.7807275
2024-12-14,3907.89,3943.52,3825.0,3869.81,8039.67605465,31112018.793045115
2024-12-15,3869.32,3972.06,3832.13,3954.5,9797.00938306,38742273.60531077
2024-12-16,3955.82,4107.0,3884.69,3987.53,26144.73709648,104252923.5143269
2024-12-17,3987.53,4041.23,3850.0,3893.52,18353.90909475,71461312.13859102
2024-12-18,3893.42,3903.21,3615.38,3624.84,33305.02750252,120725395.8922346
2024-12-19,3624.85,3718.46,3324.01,3414.63,34443.16226905,117610655.1787662
2024-12-20,3414.61,3496.75,3096.65,3472.0,45125.3897113,156675353.0776336
2024-12-21,3472.01,3553.48,3293.51,3337.39,15465.74991821,51615239.11953487
2024-12-22,3337.39,3398.08,3220.0,3276.69,9760.97846811,31983700.53667136
2024-12-23,3276.7,3460.96,3216.33,3417.84,16085.34859588,54977147.8449425
2024-12-24,3418.13,3534.69,3354.91,3490.91,15220.98989849,53135105.84653773
2024-12-25,3490.91,3543.46,3440.0,3494.01,4523.22040883,15804177.340656113
2024-12-26,3494.01,3509.19,3301.9,3331.04,8591.10196181,28617304.27886758
2024-12-27,3330.89,3435.0,3302.0,3327.59,12708.40357759,42288356.66075271
2024-12-28,3327.94,3418.35,3316.91,3398.39,5730.59986135,19474813.262813225
2024-12-29,3397.9,3406.86,3322.72,3349.5,7692.09326016,25764666.37490592
2024-12-30,3349.5,3430.01,3296.67,3355.59,14071.05075894,47216677.21619148
2024-12-31,3355.59,3444.97,3312.09,3333.3,7580.74283203,25268890.0820056
2025-01-01,3333.3,3365.0,3310.0,3354.0,7408.39893614,24847770.03181356
2025-01-02,3354.01,3502.89,3348.09,3451.94,14594.91641574,50380775.77214953
2025-01-03,3452.31,3626.87,3422.19,3607.57,17530.98129415,63244242.18733671
2025-01-04,3607.28,3668.77,3574.25,3657.58,7867.50006327,28776010.881415088
2025-01-05,3657.59,3673.97,3593.37,3635.44,6286.78894375,22855243.9976665
2025-01-06,3635.45,3742.25,3611.12,3688.57,10772.97666662,39736878.54319453
2025-01-07,3688.58,3698.95,3356.69,3380.7,25663.18930499,86759544.08337969
2025-01-08,3380.67,3414.55,3210.73,3326.34,23962.3462754,79706910.90971404
2025-01-09,3326.4,3355.0,3159.16,3219.04,22821.45019896,73463161.0484602
2025-01-10,3218.8,3320.0,3194.91,3266.05,12562.09592819,41028433.40626495
2025-01-11,3266.06,3317.8,3220.26,3282.32,5421.8910703,17796381.497867096
2025-01-12,3281.68,3295.83,3225.29,3264.98,3855.18908716,12587115.265795656
2025-01-13,3265.24,3335.86,2920.0,3136.15,27425.86934353,86011640.14171162
2025-01-14,3136.15,3255.25,3126.06,3222.73,9781.12405623,31521921.92973411
2025-01-15,3222.73,3473.02,3186.61,3451.43,14326.57736837,49447178.92651327
2025-01-16,3451.43,3456.84,3265.46,3307.25,17898.4520615,59194655.58039588
2025-01-17,3307.26,3526.0,3306.82,3473.69,22178.63796414,77041712.90965348
2025-01-18,3473.69,3494.68,3227.9,3306.14,26305.19765281,86968666.16786124
2025-01-19,3306.14,3445.01,3125.4,3210.68,52361.86316029,168117186.8114799
2025-01-20,3209.3,3444.0,3141.8,3278.11,45616.72080957,149536628.6530595
2025-01-21,3279.03,3364.82,3202.14,3327.15,22864.05226624,76072131.49762042
2025-01-22,3327.23,3363.77,3222.41,3239.35,15768.57457524,51079932.05030369
2025-01-23,3239.35,3346.92,3181.79,3337.96,25785.02087467,86069368.27881348
2025-01-24,3338.84,3427.0,3276.45,3309.92,22297.82490878,73804016.62206909
2025-01-25,3309.92,3349.75,3270.0,3316.31,9849.69436275,32664639.91213145
2025-01-26,3316.32,3359.15,3230.74,3233.47,8183.49911064,26461098.86928112
2025-01-27,3231.55,3250.83,3021.8,3179.98,24056.68910148,76499790.20892437
2025-01-28,3179.99,3220.64,3039.96,3076.6,12733.58583337,39176150.17494614
2025-01-29,3075.4,3179.53,3054.61,3113.22,21359.32739738,66496285.24007136
2025-01-30,3113.32,3283.43,3092.59,3247.77,16347.91998744,53094284.09760801
2025-01-31,3247.77,3438.0,3215.0,3300.25,25242.92596014,83307966.39995204
2025-02-01,3300.25,3327.76,3105.0,3116.46,16345.39875732,50939781.411237486
2025-02-02,3116.47,3161.49,2750.0,2869.46,35348.07475767,101429886.59414376
2025-02-03,2869.4,2923.0,2127.94,2883.26,112739.38214815,325056950.972475
2025-02-04,2883.04,2892.22,2634.95,2735.22,43404.5374032,118720958.7959807
2025-02-05,2732.21,2825.94,2700.0,2788.76,34975.34295561,97537837.42088696
2025-02-06,2788.62,2856.38,2655.61,2687.08,24086.10928625,64721302.540896654
2025-02-07,2687.06,2797.73,2562.36,2623.39,21082.50956463,55307644.76675469
2025-02-08,2622.97,2665.53,2590.0,2632.79,10461.92244461,27544044.79294476
2025-02-09,2633.01,2696.99,2524.7,2628.76,8383.24542496,22037540.24331785
2025-02-10,2628.76,2692.4,2561.82,2661.24,11291.55565388,30049539.568331607
2025-02-11,2661.25,2756.91,2561.17,2603.04,15012.59462073,39078384.30154502
2025-02-12,2602.06,2794.68,2550.0,2737.85,18843.03292884,51589397.70422459
2025-02-13,2737.86,2756.0,2614.28,2676.18,18000.83509342,48173474.86030873
2025-02-14,2676.26,2790.13,2666.92,2725.81,12478.71274275,34014599.981315374
2025-02-15,2725.87,2738.58,2666.0,2693.0,5810.02779489,15646404.85163877
2025-02-16,2693.0,2725.85,2652.76,2663.01,7272.5984052,19367002.279031653
2025-02-17,2663.01,2847.0,2640.0,2742.99,20062.85356388,55032206.69718719
2025-02-18,2743.0,2754.29,2605.12,2669.75,21941.00370776,58576994.64879226
2025-02-19,2669.75,2736.28,2655.73,2715.01,15173.023464,41194910.434994645
2025-02-20,2715.01,2768.86,2708.26,2739.33,8658.94442664,23719706.23622775
2025-02-21,2739.34,2843.9,2616.73,2658.99,20116.9627884,53490802.88472771
2025-02-22,2660.13,2797.5,2653.58,2763.33,16470.65952973,45513867.5982888
2025-02-23,2763.34,3021.6,2746.2,2819.49,36877.20437329,103974908.9584474
2025-02-24,2819.49,2838.33,2473.34,2514.21,35867.26546741,90177837.51081689
2025-02-25,2513.2,2530.28,2309.99,2491.74,50736.0339776,126421005.303345
2025-02-26,2492.86,2502.95,2251.92,2332.44,31849.82794725,74287812.69728379
2025-02-27,2333.12,2378.09,2229.66,2304.85,16320.28156931,37615800.97502415
2025-02-28,2305.4,2310.11,2075.01,2236.31,36263.41763858,81096243.49933285
2025-03-01,2236.42,2278.76,2142.38,2215.6,13210.69235355,29269609.978525378
2025-03-02,2216.67,2550.0,2173.62,2519.77,44524.3059821,112191010.48451611
2025-03-03,2519.77,2525.23,2095.0,2147.28,29964.46930938,64342105.658645496
2025-03-04,2147.59,2221.8,1990.68,2170.99,32023.38959899,69522458.5855113
2025-03-05,2170.96,2273.18,2155.03,2241.22,21291.35977264,47718621.34963622
2025-03-06,2241.56,2319.2,2176.44,2202.2,16571.33272778,36493388.93311712
2025-03-07,2202.2,2257.45,2103.67,2139.49,19972.92728282,42731878.19232056
2025-03-08,2139.49,2232.35,2105.76,2203.01,12444.07216529,27414415.42085552
2025-03-09,2203.18,2210.62,1991.13,2019.51,22145.70272612,44723468.112426594
2025-03-10,2019.51,2152.15,1810.66,1863.51,44650.75065639,83207120.35568933
2025-03-11,1863.51,1962.0,1753.01,1922.11,27955.88379175,53734283.79496059
2025-03-12,1923.08,1955.52,1830.42,1907.97,22627.89635978,43173347.41756944
2025-03-13,1908.05,1920.8,1822.12,1862.99,16264.56652363,30300724.78785745
2025-03-14,1862.99,1944.13,1861.71,1910.01,12153.97178796,23214207.65472148
2025-03-15,1910.01,1957.6,1904.03,1936.8,5868.36741711,11365854.013458649
2025-03-16,1936.81,1939.79,1862.26,1887.1,7434.08897205,14028869.299155554
2025-03-17,1887.1,1951.23,1881.0,1926.26,10018.43074833,19298102.413278144
2025-03-18,1926.26,1934.06,1872.31,1931.66,10578.2727335,20433626.30839261
2025-03-19,1931.28,2068.99,1927.77,2057.01,22377.91926825,46031603.71398294
2025-03-20,2056.71,2066.99,1951.96,1981.55,15477.38407813,30669210.4200185
2025-03-21,1981.61,1993.93,1935.91,1964.29,9119.37103192,17913089.324290138
2025-03-22,1964.29,2004.66,1964.28,1980.15,6396.27396696,12665581.895675844
2025-03-23,1980.15,2019.99,1977.27,2005.13,6546.97274361,13127531.45739472
2025-03-24,2005.13,2104.11,1978.12,2081.86,17932.4584707,37332867.99181151
2025-03-25,2081.37,2097.82,2038.61,2066.35,8602.29900806,17775360.55530478
2025-03-26,2066.36,2078.7,1982.36,2009.22,15485.38165328,31113538.52540324
2025-03-27,2009.64,2036.93,1987.86,2002.08,9482.79110463,18985306.414757628
2025-03-28,2002.09,2015.8,1860.0,1895.61,17157.66261686,32524236.833145987
2025-03-29,1896.0,1911.99,1796.04,1827.62,9150.65068788,16723912.210183242
2025-03-30,1827.69,1847.43,1767.65,1806.21,13130.84375911,23717061.306142077
2025-03-31,1806.21,1852.64,1777.72,1822.8,18053.95407815,32908747.49365182
2025-04-01,1822.06,1927.19,1819.01,1905.28,22687.98123522,43226956.88783996
2025-04-02,1905.28,1955.0,1781.97,1792.97,21161.26935611,37941521.11742455
2025-04-03,1794.85,1843.76,1750.0,1815.63,21584.19549121,39188912.85970562
2025-04-04,1815.62,1834.03,1759.59,1815.21,18589.8883563,33744551.24323933
2025-04-05,1815.99,1826.0,1765.01,1805.58,5388.08485084,9728618.244979689
2025-04-06,1805.58,1815.38,1537.26,1578.98,37137.71528388,58639709.67894085
2025-04-07,1578.99,1636.43,1410.7,1551.65,60654.67367592,94114824.40924127
2025-04-08,1551.85,1617.6,1445.07,1471.99,29537.8196441,43479375.13791876
2025-04-09,1471.99,1687.44,1384.17,1668.81,47468.49329403,79215896.29401019
