date,M,S,R,Sent,Mac,regime,price,fwd3d,fwd7d,fwd14d,fwd30d,conflict_BULL_fear,conflict_BEAR_greed,clean_BULL,clean_BEAR
2025-11-03,-0.390630189986376,1.0,-0.07452195315673261,0.2322719209678788,-0.35788782529024077,BEAR,106495.802789889,-4.933742902797156,-0.3881135426327287,-13.694747643245408,-12.100673065440848,False,False,False,True
2025-11-04,-0.395374984393629,1.0,-0.7317556782066744,0.11937347187424657,-0.31553547570776713,BEAR,101349.73723232,2.051050719398506,1.6030316640948339,-8.39991849376206,-9.022366044173003,False,False,False,True
2025-11-05,-0.3678400769543267,1.0,0.3641485441749483,0.047910882027246374,-0.3201695894147613,BEAR,103915.88479135,-1.5212913360716507,-2.1495829468229144,-12.120768334297106,-14.084516873686482,False,False,False,True
2025-11-06,-0.3727642229139005,1.0,0.6076598224355396,0.1757103014946552,-0.32945318437284526,BEAR,101241.573677966,3.401736695597757,-1.1914705480240095,-14.154536618048452,-11.923971722614512,False,False,False,True
2025-11-07,-0.4380785047926916,1.0,-0.5609039730631754,-0.1431763185291272,-0.3299213839164123,BEAR,103428.471746932,2.566030770026062,-8.630045473552272,-17.86783185927475,-12.917743172449336,False,False,False,True
2025-11-08,-0.4420528253586703,1.0,-0.5606016841411086,-0.011408575959517421,-0.330850872636622,BEAR,102335.021439217,0.6247950734966645,-6.638690747985143,-17.1593454977207,-11.395783018957406,False,False,False,True
2025-11-09,-0.4046578061877162,1.0,0.1543328580293721,-0.06443260938013579,-0.251847799370543,BEAR,104685.54544097,-2.8689909151102144,-10.033125678504739,-17.0158073904787,-11.34511316074407,False,False,False,True
2025-11-10,-0.3581178091872698,1.0,-0.7770318337847003,0.10177520301428714,-0.23964385375833602,BEAR,106082.478156926,-5.700439994193496,-13.3584801712472,-16.68972673187025,-13.177999145614871,False,False,False,True
2025-11-11,-0.3651322378358066,1.0,-0.7644781397173483,0.19592918524415637,-0.20783820472617348,BEAR,102974.405611631,-8.227149220954077,-9.845129612792647,-15.090987812530543,-10.051707197837978,False,False,False,True
2025-11-12,-0.271109340289207,1.0,0.2986728504824221,0.30000000000000004,-0.1773473485693718,BEAR,101682.126652835,-6.039223426962703,-10.190232896049201,-11.047024639523917,-11.162746804472567,False,True,False,False
2025-11-13,-0.30845441395281176,1.0,-0.1830448659756588,0.09520098921976314,-0.2207779137331884,BEAR,100035.310145237,-5.850931073327992,-13.119379614211235,-8.696039515758914,-9.786587222901844,False,False,False,True
2025-11-14,-0.32791919689920207,1.0,0.759553807847617,-0.08055526232758214,-0.2180962482210353,BEAR,94502.5476025716,-2.7418057196753276,-10.110310805778644,-3.7167474118066313,-6.778827820866685,False,False,False,True
2025-11-15,-0.29818043020210155,1.0,0.8664090810709026,0.02680677792830156,-0.22346603328347658,BEAR,95541.3158389831,-2.831103909410826,-11.268752370788448,-4.918544373547329,-9.617551843114535,False,False,False,True
2025-11-16,-0.2506324790277743,1.0,1.0,-0.19999999999999996,-0.25592969839866725,BEAR,94182.3130996493,-3.038608707099766,-7.7613919174533645,-3.7954163904359572,-6.827061105666498,False,False,False,True
2025-11-17,-0.22809600347410836,0.9683701247150576,0.8461639825011203,0.30000000000000004,-0.22301837224440968,BEAR,91911.4713471654,-5.440205901229767,-3.8448616404782143,-5.882654746258986,-6.366908327387987,False,True,False,False
2025-11-18,-0.24831357965198259,0.9871949423025861,0.6136034353006141,0.17084736635207903,-0.20606004260141486,BEAR,92836.4419111631,-8.49708953531303,-5.818718586369642,-1.4093790146205154,-7.9734303592950635,False,False,False,True
2025-11-19,-0.24564767048876285,0.9835935885057976,-0.831634127357145,-0.06935469892551377,-0.21496809578789938,BEAR,91320.4811332554,-7.1675920962450785,-0.954007310232774,2.5061330209955157,-3.4520266008030376,False,False,False,True
2025-11-20,-0.22982826087386893,0.9949536358995851,0.31700494347266,0.05019420113466167,-0.2158638599400423,BEAR,86911.2980590298,-0.04469314903214894,5.091285120675604,6.091607205989424,1.5891553907970923,False,False,False,True
2025-11-21,-0.2280064068834531,0.9795907540150002,0.322351679941578,-0.11531136983526291,-0.22660200274135117,BEAR,84948.0463205727,4.03723954830475,7.112677161623826,5.09933816082353,4.220679365535673,False,False,False,True
2025-11-22,-0.25436936639113955,0.9346454027065103,0.42870380633620025,0.20922372459923852,-0.20048859754600096,BEAR,84775.0015452952,3.137185511035101,7.1566761055555705,5.183787007579332,4.363858001140919,False,False,False,True
2025-11-23,-0.25147624019702675,0.9119458732566017,-0.379936136690391,0.14453882091281425,-0.14613106668362874,BEAR,86872.4546630625,4.117326278294686,4.299691430152719,3.67825768110841,0.5681192342390062,False,False,False,True
2025-11-24,-0.23287660848763542,0.8235993815117894,-0.43695145513135725,0.033622263134788846,-0.14613106668362874,BEAR,88377.6024421391,3.3476780557529784,-2.119276349186361,2.5974250692805123,-0.8508169850327207,False,False,False,True
2025-11-25,-0.2632881691638555,0.8387098376635982,0.2214764042705969,0.10160667413855169,-0.12470054807519709,BEAR,87434.550610754,4.066557184626718,4.681757888156102,6.146656212509649,-0.23245483710715442,False,False,False,True
2025-11-26,-0.2590335395217177,0.8336574589240484,0.4123641378161409,0.06346303193139334,-0.12470054807519709,BEAR,90449.2770675044,0.4342729644750465,3.4934682739423684,1.828265606833579,-3.443332426361023,False,False,False,True
2025-11-27,-0.2629499997957699,0.8276636939561861,-0.21551173085717246,0.027196027197953464,-0.12470054807519709,BEAR,91336.2000452952,-0.7976003967325562,0.9518601701036911,1.4096489944864121,-3.98613489047418,False,False,False,True
2025-11-28,-0.2780148586160091,0.8191041235789267,-0.5656669350509997,0.015866037543065897,-0.12470054807519709,BEAR,90990.1266104617,-4.929644525124854,-1.8796458590632947,-0.7237250082143265,-3.5635486798066385,False,False,False,True
2025-11-29,-0.27401326054262287,0.7168775854869959,0.3338529644981735,0.20639259965649034,-0.12470054807519709,BEAR,90842.0738243717,0.7551024846716548,-1.8411256952696298,-0.6569715277004007,-4.082429285310907,False,False,False,True
2025-11-30,-0.26902274961775763,0.6641425736671848,0.3773209900309935,0.016223948922595918,-0.12470054807519709,BEAR,90607.7021513735,3.312512781176302,-0.5958155201834625,-2.771640244134288,-2.4051044515051245,False,False,False,True
2025-12-01,-0.2562710146476866,0.6645042887097888,-0.4150891025518224,-0.06768409753554684,-0.12470054807519709,BEAR,86504.6368156049,6.590347464217405,4.8188256507926575,-0.17577850694169284,1.1702739406330709,False,False,False,True
2025-12-02,-0.25399361669929055,0.6505480968850678,0.20591451551339263,-0.11768137195218747,-0.12470054807519709,BEAR,91528.0245809468,-2.456286069505209,1.399382618238687,-4.125070506685735,-3.10703388007042,False,False,False,True
2025-12-03,-0.25521404498542527,0.6179371965741446,0.8128936160316363,-0.010241162117923586,-0.12470054807519709,BEAR,93609.0938658679,-4.742634098300213,-1.6089930068833525,-8.064966051853585,-3.9193987968427213,False,False,False,True
2025-12-04,-0.2592081680023972,0.5365816184235659,0.6348352180100217,0.19272433013215912,-0.12470054807519709,BEAR,92205.5929544126,-2.318455406490927,0.4534724012131619,-7.34380623790506,-1.74334627616477,False,False,False,True
2025-12-05,-0.2756791244359658,0.3783206695684138,-0.027186047743303465,-0.0370305274200422,-0.12470054807519709,BEAR,89279.8344634717,1.560609950165892,1.1780642874450242,-1.2452539115901606,2.3296741435254065,False,False,False,True
2025-12-06,-0.26434542872987404,0.24606185250586968,-0.1911172998570867,-0.0965934520898798,-0.12470054807519709,BEAR,89169.5570610754,4.081319798618854,1.2063648610038724,-0.9836355059250068,5.359480607354028,False,False,False,True
2025-12-07,-0.2643311844858137,0.24132759537587156,-0.23206952643998668,-0.007950207811633976,-0.12470054807519709,BEAR,90067.847399474,2.2594996450387983,-2.1888663292566,-1.7036228362577344,3.8931092659394206,False,False,False,True
2025-12-08,-0.26071971226332846,0.2179114366288521,-0.22549882620199915,0.014324375488180247,-0.12470054807519709,BEAR,90673.1444436003,2.151216260564115,-4.764987707813129,-2.4248438982625076,0.5909266964920112,False,False,False,True
2025-12-09,-0.24344912392872017,0.1668544688678809,-0.39304524721181777,-0.15479230243041758,-0.12470054807519709,BEAR,92808.8518477498,-2.6691888642666695,-5.448211796045721,-5.864589370655871,-1.8445823412334472,False,False,False,True
2025-12-10,-0.2155055243826608,0.1358744114922293,-0.07707727514122015,0.30000000000000004,-0.12470054807519709,BEAR,92102.9300917592,-2.0169421599676274,-6.561547891690833,-4.861147520173303,-1.6973693034392112,False,True,False,False
2025-12-11,-0.1591262191858923,0.13842710159784608,-0.39243902807283937,-0.16674790788847135,-0.12470054807519709,BEAR,92623.7198708358,-4.887881055617827,-7.762079749693207,-5.821851151950231,-2.3941787940205073,False,False,False,True
2025-12-12,-0.12636046586137784,0.13476284619472745,-0.061439700250399465,0.2465283811773098,-0.12470054807519709,BEAR,90331.6083091759,-4.404912219631784,-2.3951023535601412,-3.3175547125087412,0.4268694129933026,False,False,False,True
2025-12-13,-0.18788035307692066,0.11862253489352476,-0.10166159847568512,0.021077131650109573,-0.12470054807519709,BEAR,90245.267264173,-2.762292479304951,-2.1638958873155922,-2.8254682309848844,0.9927197424362433,False,False,False,True
2025-12-14,-0.16885055428706996,0.10041383488287106,0.0064962290426492375,0.26851751000026847,-0.12470054807519709,BEAR,88096.3826142607,-2.31204770239124,0.49610251388387816,-0.3958544596631919,8.182079066257696,False,False,False,True
2025-12-15,-0.17986714077554147,0.0697428443940677,-0.25669406050184174,-0.0076760827669427115,-0.12470054807519709,BEAR,86352.5802565751,-1.0635320757263256,2.4572305428710584,0.9043506752043351,12.381115234251649,False,False,False,True
2025-12-16,-0.2106192162378701,0.054411951456043745,-0.1712586858283286,-0.15828754897196584,-0.12470054807519709,BEAR,87752.4290336061,0.47365617513428493,-0.4403698571115333,0.7704211123993998,8.88147574988949,False,False,False,True
2025-12-17,-0.4366924668920207,0.13136486569430883,-0.8253230132431917,-0.19999999999999996,-0.12470054807519709,BEAR,86059.5522241379,2.594600315132034,1.819807941110274,1.6935084785980825,10.957037879491205,False,False,False,True
2025-12-18,-0.4825829448273743,0.13988635106048855,-0.8069668220690502,-0.19055142453647714,-0.12470054807519709,BEAR,85434.1928673291,3.627631995698155,2.103504277283963,3.8041267448683858,11.321916050973634,False,False,False,True
2025-12-19,-0.46752100754689957,0.14042728846094954,0.21097142704561656,-0.02832748578396141,-0.12470054807519709,BEAR,88168.0738325541,0.34750492703818914,-0.9450881883919959,2.009918395138266,6.9109546504834585,False,False,False,True
2025-12-20,-0.4564956553011983,0.1485348307551468,0.41425869837522733,0.045848106767955164,-0.12470054807519709,BEAR,88292.4536373466,-1.049308080046163,-0.6762047095694945,2.6114083943685085,4.795187077246288,False,False,False,True
2025-12-21,-0.494499263520089,0.15373453494734038,0.14887417272596182,0.05791967231391068,-0.12470054807519709,BEAR,88533.4309830508,-1.025330412901182,-0.8875537968488167,3.1923903410450594,-0.33531716490511343,False,False,False,True
2025-12-22,-0.4948220270762037,0.1886060528945781,0.4196751368595,0.08341177524947357,-0.12470054807519709,BEAR,88474.4622331969,-1.4051031600100017,-1.515637168249384,6.187231668955362,1.2714399311805291,False,False,False,True
2025-12-23,-0.506427661992642,0.18500353703003047,-0.2914119564546593,0.1604363017154984,-0.12470054807519709,BEAR,87365.9937872589,-0.03569581833515745,1.2161465121688364,7.106075322709349,2.3232230992650926,False,False,False,True
2025-12-24,-0.5045131466024838,0.19218659924325754,0.8625728476019194,0.10146549626398908,-0.12470054807519709,BEAR,87625.6707895967,0.07959438989879608,-0.12404213390899699,4.0893101744962745,2.070284980480941,False,False,False,True
2025-12-25,-0.5221689776840646,0.20243712456691096,1.0,0.045738756421659664,-0.12470054807519709,BEAR,87231.3047685564,0.5919255566493975,1.665586778457695,4.43144969247522,2.239716505024991,False,False,False,True
2025-12-26,-0.5941232728835076,0.20018583756620478,-0.3636310080492521,0.30000000000000004,-0.12470054807519709,BEAR,87334.8077808299,-0.2304892937455838,2.983200458701507,3.6695511553952898,-1.0180788288048026,False,True,False,False
2025-12-27,-0.6021055932171528,0.24127711573921168,-0.055964926645206414,0.16199739750935133,-0.12470054807519709,BEAR,87695.4159076564,0.835934647530312,3.3099954490510397,3.091069784825806,0.7321233804961746,False,False,False,True
2025-12-28,-0.629470223970116,0.2578758911565876,-0.2936089257799287,0.06456454268382915,-0.12470054807519709,BEAR,87747.6491548802,-0.2628801106407397,4.116480113437215,3.3842013877671384,1.7239565953415248,False,False,False,True
2025-12-29,-0.6265195348490374,0.2675380913406885,-0.39536769410276196,0.16426190639316607,-0.12470054807519709,BEAR,87133.5103991818,1.7796912360945827,7.821413080941819,4.599423839779804,2.346145406266098,False,False,False,True
2025-12-30,-0.6166235592726422,0.2817059797492256,0.12672750796629928,0.30000000000000004,-0.12470054807519709,BEAR,88428.4922735243,1.709503186997119,5.819159307583788,7.775781135654158,-4.419497452018972,False,True,False,False
2025-12-31,-0.6165807388977739,0.2865436787875484,0.20313987855891702,0.30000000000000004,-0.12470054807519709,BEAR,87516.9780376972,3.520633612602353,4.2185851314230804,10.88590454310523,-3.9991600338015854,False,True,False,False
2026-01-01,-0.6032713511024301,0.269310111762406,0.28084843474565124,0.07003473372895025,-0.12470054807519709,BEAR,88684.2178474576,3.0169357072010294,2.7205497963088465,7.737478051066682,-11.255477679238235,False,False,False,True
2026-01-02,-0.5810725940412087,0.25613999794786374,1.0,0.11334127879166246,-0.12470054807519709,BEAR,89940.1801671537,4.4567422533776435,0.666468602293091,6.169600486446414,-14.486437280506081,False,False,False,True
2026-01-03,-0.5884829440991992,0.19541358694509298,1.0,0.009824330691445178,-0.12470054807519709,BEAR,90598.1301832262,3.2850092192519886,-0.21191140632000893,4.976758648605761,-13.11454038876213,False,False,False,True
2026-01-04,-0.579666215932651,0.1914784069625548,1.0,0.01073888640042818,-0.12470054807519709,BEAR,91359.7636823495,-0.1650698465109346,-0.7033264329261213,3.1759777302683423,-17.157441112795123,False,False,False,True
2026-01-05,-0.56606514261197,0.21775177304139878,1.0,-0.02325389523831882,-0.12470054807519709,BEAR,93948.5821794272,-3.0353475888718173,-2.988264713933253,-1.5139560194346036,-22.196599704889508,False,False,False,True
2026-01-06,-0.6339404567329777,0.2353289666069023,0.2988628484720328,-0.1868760460866466,-0.31828075233187153,BEAR,93574.2871122151,-3.2430745422214913,1.8490241662032947,-5.704263515819097,-32.14515396788178,False,False,False,True
2026-01-07,-0.6624987142240047,0.2112854124636318,0.20763263650554137,0.2882707217671244,-0.31773479257292375,BEAR,91208.9562606663,-0.8801919045281492,6.397438041664505,-1.7647328198112877,-22.54302525184744,False,False,False,True
2026-01-08,-0.587232818559337,0.13036468193385048,1.0,0.30000000000000004,-0.2489067474836601,BEAR,91096.9161554647,-0.41681964239491665,4.884055103585627,-1.8674786056801618,-24.073983663296406,False,True,False,False
2026-01-09,-0.6226386091407925,0.18363546543017448,1.0,0.006292951646295779,-0.24998075828032745,BEAR,90539.6032288136,0.6644016525950036,5.466698058014496,-1.2147516651190626,-22.10857268602391,False,False,False,True
2026-01-10,-0.6300572862991205,0.17021134242038646,0.5690375493953767,0.09148420598472551,-0.2408580883786191,BEAR,90406.1424114553,5.418167120242523,5.1996887885618515,-1.3506866678277496,-22.301626965091447,False,False,False,True
2026-01-11,-0.6138923162065031,0.18263494966048266,0.4034854089950297,0.09841495207478812,-0.24246550271599465,BEAR,90717.2063153127,6.974185678280387,3.9067815907992465,-4.708627939698551,-24.28250835388698,False,False,False,True
2026-01-12,-0.7514488368456518,0.3931031652861113,0.12353541621086456,0.11010731461744885,-0.1861267247524857,BEAR,91141.1498489188,4.8331515419193005,1.519722011106417,-3.0762123392415797,-26.498934122404982,False,False,False,True
2026-01-13,-0.7572695624808644,0.1096853712184684,1.0,0.1385640445284485,-0.21682806943313793,BEAR,95304.4982942724,0.19372817578315882,-7.416161071603867,-6.34190186476512,-30.515825069409686,False,False,False,True
2026-01-14,-0.7436228107453722,0.11504580854327029,1.0,0.22693940955654054,-0.23603632601035873,BEAR,97043.9927258913,-1.9960146000665313,-7.6713979318557834,-8.105811863470446,-29.041624082947738,False,False,False,True
2026-01-15,-0.5754074490260008,0.3043983277496213,1.0,-0.19999999999999996,-0.08152311856444683,BEAR,95546.1397381648,-1.3447014294444615,-6.437140233182093,-11.539704751801283,-26.94830024882181,False,False,False,True
2026-01-16,-0.5883438154012814,0.4833571137367284,1.0,-0.19999999999999996,0.0,BEAR,95489.1299602572,-3.102853693548213,-6.335127434688692,-12.014033362550492,,False,False,False,True
2026-01-17,-0.5792899205100884,0.4577006078285287,1.0,-0.03439818654571543,-0.11092075861398332,BEAR,95106.980462595,-7.223883291102795,-6.22661105923521,-17.248570904232242,,False,False,False,True
2026-01-18,-0.5452184428019016,0.5232429339519408,1.0,0.03369066285172546,-0.08102020987592262,BEAR,94261.3294313267,-4.945790160742581,-8.291479534441349,-18.40656943704819,,False,False,False,True
2026-01-19,-0.5621849982550982,0.7223551706163128,1.0,0.30000000000000004,-0.00945664111163097,BEAR,92526.2419643483,-3.3834090330044253,-4.527134491015639,-14.925106501986384,,False,True,False,False
2026-01-20,-0.39402137900730017,0.9459451003649708,1.0,-0.19999999999999996,0.06834578305742128,BEAR,88236.5631922852,1.3636169125174957,1.1603096385639944,-14.225165521429838,,False,False,False,True
2026-01-21,-0.39319197095012814,1.0,1.0,0.17805346606029576,-0.01694992813519941,BEAR,89599.361874927,-0.46241755214613267,-0.47050851186293263,-18.41996423292033,,False,False,False,True
2026-01-22,-0.236780199031022,0.9979294048799462,-0.34416370582549416,-0.12337493184304571,0.0032584394271502615,BEAR,89395.700735827,-3.2999686997350453,-5.453621801787656,-28.973442880347477,,False,False,False,True
2026-01-23,-0.1722841192491693,1.0,-0.6050721134433455,0.30000000000000004,0.003714017847346651,BEAR,89439.7718909994,-1.2324688631843772,-6.063005022402567,-21.010869409443,,False,True,False,False
