fg_w,extreme,dd_bot,bottom_signals,bottom_precision,top_signals,top_precision,bottom_recall_on_real_lows,bottom_f1,n_real_lows
0.3,0.25,0.15,282,0.5780141843971631,419,0.5465393794749404,0.8365384615384616,0.6836523164441016,312
0.3,0.25,0.25,317,0.5488958990536278,417,0.5443645083932853,0.8365384615384616,0.6628571428571429,312
0.35,0.0,0.0,238,0.5882352941176471,442,0.5542986425339367,0.782051282051282,0.6714364336818933,312
0.35,0.0,0.15,288,0.5694444444444444,438,0.5502283105022832,0.8397435897435898,0.6786707101339399,312
0.35,0.0,0.25,325,0.5446153846153846,436,0.5504587155963303,0.8397435897435898,0.6607206462735264,312
0.35,0.15,0.0,238,0.5882352941176471,442,0.5542986425339367,0.782051282051282,0.6714364336818933,312
0.35,0.15,0.15,288,0.5694444444444444,438,0.5502283105022832,0.8397435897435898,0.6786707101339399,312
0.35,0.15,0.25,325,0.5446153846153846,436,0.5504587155963303,0.8397435897435898,0.6607206462735264,312
0.35,0.25,0.0,238,0.5882352941176471,442,0.5542986425339367,0.782051282051282,0.6714364336818933,312
0.35,0.25,0.15,288,0.5694444444444444,438,0.5502283105022832,0.8397435897435898,0.6786707101339399,312
0.35,0.25,0.25,325,0.5446153846153846,436,0.5504587155963303,0.8397435897435898,0.6607206462735264,312
